201,BATA INDIA LTD.,11/06/2020,8,1379.5,B
202,BATA INDIA LTD.,11/06/2020,4,1362.95,B
203,BATA INDIA LTD.,11/06/2020,4,1371,B
204,INDUSIND BANK LTD.,11/06/2020,20,540,S
205,INDUSIND BANK LTD.,11/06/2020,10,518.4,B
206,BALAJI TELEFILMS LTD.,11/06/2020,100,68.8,B
207,BALAJI TELEFILMS LTD.,11/06/2020,3,66.1,B
208,BALAJI TELEFILMS LTD.,11/06/2020,33,66.3,B
209,BALAJI TELEFILMS LTD.,11/06/2020,33,66.3,B
210,BALAJI TELEFILMS LTD.,11/06/2020,10,66.3,B
211,BALAJI TELEFILMS LTD.,11/06/2020,11,66.3,B
212,BALAJI TELEFILMS LTD.,11/06/2020,11,66.3,B
213,BALAJI TELEFILMS LTD.,11/06/2020,2,66.3,B
214,MARUTI SUZUKI INDIA LTD.,11/06/2020,1,5532,B
215,PVR LTD.,11/06/2020,1,1030,S
216,PVR LTD.,11/06/2020,4,999.25,B
217,PVR LTD.,11/06/2020,1,1055,S
218,PVR LTD.,11/06/2020,1,1011,S
219,PVR LTD.,11/06/2020,1,1035,S
220,INOX LEISURE LTD.,11/06/2020,20,243.35,S
