186,BATA INDIA LTD.,1408.7,4,B,09/06/2020
187,STATE BANK OF INDIA,189,100,S,09/06/2020
188,INDUSIND BANK LTD.,468.45,10,B,09/06/2020
189,INDUSIND BANK LTD.,469.85,10,B,09/06/2020
190,PVR LTD.,1140,10,S,09/06/2020
